123mua (VNG),Vietnam,0.5M,08/07/14,Sendo
Zopim,Singapore,29.8M,04/10/14,Zendesk
Bright.com,Philippines,120M,02/07/14,LinkedIn
Annio Games,Philippines,Undisclosed,01/07/14,Pocket PlayLab
Webfluzenz,Singapore,Undisclosed,01/07/14,Mu Sigma
Maxitech,Indonesia,3.35M,31/05/14,Corous360
PriceArea,Indonesia,Undisclosed,05/05/14,Yello Mobile
Taxiwise,Hong Kong,Undisclosed,30/04/14,Ikky
DapurMasak,Indonesia,"60% for 0.6M, remaining 40% undisclosed amount",22/04/14,Cookpad
ERIIN,Singapore,Undisclosed,03/04/14,ShopDeca
Web in Travel,Singapore,Undisclosed,03/04/14,Northstar Travel Media
Cloute Shoppe,Singapore,Undisclosed,04/03/14,Reebonz
City Delivery,Philippines,Undisclosed,26/02/14,Food Runner
JobStreet,Malaysia,524M,19/02/14,Seek
Indiescape,Singapore,Undisclosed,15/01/14,BeMyGuest
DealDozen,Philippines,Undisclosed,06/01/14,Streetdeal
Fisheye,Singapore,Undisclosed,16/12/13,Kantar (WPP)
Buy Together,Hong Kong,8.4M and 12.6M in shares,07/12/13,iBuy
Eevent,Indonesia,Undisclosed,09/10/13,EnvisionPoint
Aqayo,Singapore,Undisclosed,25/09/13,HRBoss
Gamesaku,Indonesia,Undisclosed,12/09/13,Tech in Asia
Sgentreprenuers,Singapore,Undisclosed,06/09/13,Tech in Asia
ThoughtBuzz,Singapore,Undisclosed,03/09/13,To The New
The Sample Store,Singapore,1.2M,02/09/13,Singapore Post
Viki,Singapore,200M,02/09/13,Rakuten
Glamybox,Vietnam,Undisclosed,02/08/13,VanityTrove
TechSailor,Singapore,Undisclosed,23/07/13,To The New
Yfind,Singapore,Undisclosed,23/07/13,Ruckus Wireless
Travelmob,Singapore,12.5M for 63%*,16/07/13,HomeAway
DealMates,Malaysia,10M,12/07/13,iBuy
Says.com.my,Malaysia,Undisclosed,12/07/13,Catcha Media
DealGuru,Singapore,11M + 23.28M in IBuy Shares,12/07/13,iBuy
Pinoy Auto Trader,Philippines,Undisclosed,04/07/13,Sulit (Naspers)
Barnett Interactive,Singapore,Undisclosed,19/06/13,The Farm Digital
Znap,Hong Kong,75M,12/06/13,Powa Technologies
Ocision,Malaysia,4.36M,01/06/13,Star Publication
Singapore-din.sg,Singapore,Undisclosed,20/05/13,Foodpanda
IAHGames,Singapore,Undisclosed,14/05/13,Yuuzoo
I Love Discounts,Malaysia,Undisclosed,24/04/13,DealMates
Nganluong,Vietnam,Undisclosed,23/04/13,MOL Global
Asian Food Channel,Singapore,66M,15/04/13,Scrippts Network
Vietnamworks,Vietnam,22M,11/04/13,En-japan
DS3,Singapore,Undisclosed,04/04/13,Gemalto
Sgcarmart,Singapore,60M,01/04/13,Singapore Press Holdings
AyoPay,Indonesia,Undisclosed,20/03/13,MOL Global
Catcha Digital Asia,Singapore,Undisclosed,19/03/13,Opt Inc
HRVietnam,Vietnam,Undisclosed,21/02/13,Career Builder
Kiemviec.vn,Vietnam,Undisclosed,21/02/13,Career Builder
GridBlaze,Singapore,Undisclosed 7 digits,19/02/13,Dropbox*
MakeMac,Indonesia,Undisclosed,16/02/13,Apps Foundry
MyGamma  (Buzzcity),Singapore,Undisclosed,23/01/13,Nazara
Djuzz (Buzzcity),Singapore,Undisclosed,22/01/13,Nazara
JomSocial,Malaysia,Undisclosed,01/01/13,iJoomla
Asia Room Service,Singapore,Undisclosed,25/10/12,Dealguru
TheMobileGamer,Singapore,6M,25/09/12,"Singtel,Softbank"
Tongue in Chic,Malaysia,Undisclosed,02/09/12,PopDigital
Eat.vn,Vietnam,0.13M,26/07/12,VC Corp
Bouncity,Indonesia,Undisclosed,13/07/12,Qeon
Orderfood.vn,Vietnam,0.05M,18/06/12,MJ Group
Hungrygowhere,Singapore,9.4M,22/05/12,Singtel
Peekspy,Singapore,Undisclosed,08/03/12,Stubhub
AdMax,Singapore,Undisclosed,29/02/12,Komli Media
Nhom Mua,Vietnam,Undisclosed,09/01/12,Cung Mua
Baomoi.com,Vietnam,2M,01/01/12,VNG
Yume.vn,Vietnam,0.3M,01/01/12,MJ Group
FlowersExpress,Philippines,Undisclosed,30/10/11,IslandRose.net
OrSiSo,Singapore,Undisclosed,21/09/11,Singtel
Punch Entertainment,Vietnam,37M,12/09/11,DeNA
Bigdeal.sg,Singapore,Undisclosed,01/09/11,NTUC
Detik.com,Indonesia,60M,04/08/11,Para Group
DDProperty,Thailand,Undisclosed,25/07/11,PropertyGuru
Zest Interactive,Thailand,Undisclosed,25/07/11,MOL Global
Ensogo,Thailand,Undisclosed,27/06/11,Living Social
Aktiv Digital,Singapore,Undisclosed,04/06/11,Komli Media
LoadCentral,Philippines,Undisclosed,01/06/11,MOL Global
Everyday.com.my,Malaysia,Undisclosed,31/05/11,Ticket Monster (Living Social)
Rumah123.com,Indonesia,1M + 7M Shares,28/05/11,iProperty
Rumahdanproperti.com,Indonesia,0.5M,28/05/11,iProperty
JobsCentral Group,Singapore,Undisclosed,03/05/11,Career Builder
Rumah.com,Indonesia,Undisclosed,07/04/11,PropertyGuru
Disdus,Indonesia,Undisclosed,06/04/11,Groupon
Brandtology,Singapore,Undisclosed,17/02/11,Sentia Media Group
Luxury.com.sg,Singapore,3M for Majority stake,16/02/11,Makemytrip
Pagemodo,Thailand,Undisclosed,01/02/11,Webs
Groupsmore,Malaysia,Undisclosed,26/01/11,Groupon
Fullhouse.com.my,Malaysia,Undisclosed,24/01/11,PropertyGuru
Multiply,Indonesia,Undisclosedfor 74% stake,20/09/10,Naspers
Sanook (Naspers),Thailand,10.5M for 49.92%,28/08/10,Tencent
TransferTo,Singapore,38M,04/08/10,Ingenico
Think Media,Malaysia,2.08M,02/08/10,iProperty
Tencube,Singapore,11M,29/07/10,Mcafee
Koprol,Indonesia,0.5M*,25/05/10,Yahoo
Sprice,Singapore,Undisclosed,20/05/10,Travelport
Octazen Solutions,Malaysia,Undisclosed,19/02/10,Facebook
Beeconomic,Singapore,Undisclosed,01/02/10,Groupon
CozyCot,Singapore,Undisclosed for Majority Stake,01/01/10,JDB Holdings
Chikka,Philippines,13.5M,10/11/09,Smart Communications
