Gimmie,Singapore,1/13/14,Series A,0.50,Wavermaker Labs
Lawcanvas,Singapore,1/13/14,Seed,Undisclosed,Crystal Horse Investments
RedMart,Singapore,1/23/14,Venture,5.40,"Eduardo Saverin, Steve Melhuis, Jani Rautiainen, Meng Weng Wong"
PricePanda,Singapore,1/26/14,Seed,3.00,"Tengelmann Group, Investment AB Kinnevik, Rocket Internet"
OurHealthMate,Singapore,1/28/14,Seed,0.44,"Bimal Shah, Benjamin Tsai, Ben Ball, angel investors"
2C2P,Singapore,1/29/14,Series B,2.00,GMO Payment Gateway
Klinify,Singapore,2/3/14,Seed,0.60,"Jungle Ventures, National Research Foundation"
The Artling,Singapore,2/5/14,Seed,0.20,Undisclosed
Spicy Cinnamon,Singapore,2/10/14,Series A,1.47,"CyberAgent Ventures, TBS Innovation Partners, Incubate Fund, Golden Gate Ventures."
ReferralCandy,Singapore,2/10/14,Seed,0.77,"Innosight Ventures, BAF Spectrum, John Kim, Ramanan Raghavendran"
ViSenze,Singapore,2/19/14,Series A,3.50,"Rakuten Ventures, Walden International, UOB Venture Management"
HipVan,Singapore,2/27/14,Venture,Undisclosed,Tovio Annus
Luxola,Singapore,3/11/14,Series B,10.00,"Transcosmos, Gree Ventures"
Drive.SG,Singapore,3/11/14,Series A,0.78,Insas Berhad
Tembusu Terminals,Singapore,3/12/14,Seed,0.23,undisclosed Singaporean investors
AdzCentral,Singapore,3/13/14,Series B,3.20,Electric Sheep Capita
Niitrous.IO,Singapore,3/18/14,Series A,6.65,"Bessemer Venture Partners, 500 Startups, Crunchfund, Eduardo Saverin, Golden Gate Ventures, Razmig Hovaghimian, Bill Ackman, Lionrock Capital"
JFDI Asia,Singapore,3/18/14,Venture,2.10,"Infocomm Investments, Fenox Venture Capital, SpinUp Partners, Vijay Saraff, Paul Burmester, Thomas Gorissen"
Paktor,Singapore,3/19/14,Seed,0.50,SXE Ventures
Arena,Singapore,3/25/14,Seed,0.02,JFDI.Asia
Glints,Singapore,3/25/14,Seed,0.02,JFDI.Asia
Grafyt,Singapore,3/25/14,Seed,0.02,JFDI.Asia
Medialink,Singapore,3/25/14,Seed,0.02,JFDI.Asia
GoCoin,Singapore,3/26/14,Series A,1.50,"Bitcoin Shop, Owen Van Natta, Crypto Currency Partners, Andrew Frame, David Neuman"
GrabTaxi,Singapore,4/7/14,Series A,10.00,Vertex Venture Holdings
GNosis Analytics,Singapore,4/16/14,Seed,0.47,"Red Dot Ventures, National Research Foundation"
HRBoss,Singapore,4/21/14,Series B,3.60,JAFCO Asia
In2Nite,Singapore,4/21/14,Series A,2.80,IDG Ventures
KAI Square,Singapore,4/24/14,Series B,3.18,"Ingrasys Technology, Singtel Innov8"
Mig33,Singapore,4/30/14,Venture,2.20,Foxconn
BankerBay,Singapore,5/2/14,Seed,1.00,Undisclosed
Anchanto,Singapore,5/5/14,Series A,Undisclosed,"Innosight Ventures, Cub Capital, Scott Anthony, Akshay Mehra"
99.co,Singapore,5/6/14,Seed,0.56,"Fenox VC, 500 Startups, East Ventures, Golden Gate Ventures"
Art Loft,Singapore,5/7/14,Seed,Undisclosed,East Ventures
I3 Precision,Singapore,5/20/14,Seed,0.47,"Red Dot Ventures, National Research Foundation"
MyRepublic,Singapore,5/21/14,Venture,3.50,Sinar Mas Group
YOYO Holdings,Singapore,5/21/14,Seed,1.30,"Gree Ventures, Cyberagent Ventures, Incubate Fund"
Luxola,Singapore,5/26/14,Series B,3.00,"F&H Fund Management, Global Brain, Tholons Capital, Queensbridge Venture Partners"
GrabTaxi,Singapore,5/28/14,Series B,15.00,"GGV Capital, Vertex Venture Holdings, Qunar.com"
2C2P,Singapore,6/3/14,Venture,Undisclosed,GMO Global Payment Fund
WritePath,Singapore,6/4/14,Seed,0.52,"B Dash Ventures, Pinehurst Advisors, Jamie Lin, Jackie Cheng"
Innova Technology,Singapore,6/4/14,CrowdFund,0.10,Indiegogo
iCarsClub,Singapore,6/6/14,Series A,10.00,"Sequoia Capital China, Crystal Stream Capital, Wang Xing, Zhuang Chenchao, Huang Mingming"
FastaCash,Singapore,6/6/14,Series B,3.50,"Jagdish Chanrai, Golden Orile Investments, Jungle Ventures, SPRING SEEDS Capital, Funding the Future"
Sova,Singapore,6/6/14,Seed,3.00,Undisclosed
The French Cellar,Singapore,6/9/14,Series A,0.8,ESW Manage
PIPSports,Singapore,6/11/14,Seed,0.02,"PJ Roberts, Chris Welch, Steven Rogers, Lena Savitsky"
My Republic,Singapore,7/9/14,Venture,24.00,"Sinar Mas Group, Xavier Niel"
Rotimatic,Singapore,7/9/14,CrowdFund,4.00,Self
RedMart,Singapore,7/15/14,Series B,23.00,"Garena, Softbank Ventures, Visionnaire Ventures, Eduardo Saverin"
Edits Suits Co,Singapore,8/5/14,Seed,Undisclosed,"Roger Egan, Serguei Netessine, Vikram Rupani, Lachlan McKnight"
TouchPico,Singapore,8/8/14,Seed,0.64,"National Research Foundation, Ruvento Ventures, TNF Ventures"
Innova Technology,Singapore,8/9/14,CrowdFund,0.01,Indiegogo
CreoPop,Singapore,8/16/14,CrowdFund,0.18,Indiegogo
OAXIS,Singapore,8/16/14,CrowdFund,0.2,Kickstarter
Bitx,Singapore,8/19/14,Seed,0.82,"Ariadne Capital, Bitcoin Opportunity Corp, Carol Realini"
Dressabelle,Singapore,8/19/14,Seed,Undisclosed,Sovereign Capital
